Subject,RT,KeyPressed,StimulusType,SyntaxCategory,Correct
5,233,65,Sentence,Filler-Ungram,FALSE
5,281,85,Sentence,Ungrammatical,TRUE
5,265,65,Sentence,Filler-Ungram,FALSE
5,287,65,Sentence,Filler-Ungram,FALSE
5,121,65,Sentence,Grammatical,TRUE
5,248,85,Sentence,Filler-Gram,FALSE
5,286,65,Sentence,Filler-Ungram,FALSE
5,271,65,Sentence,Filler-Ungram,FALSE
5,267,85,Sentence,Ungrammatical,TRUE
5,31,65,Sentence,Grammatical,TRUE
5,192,85,Sentence,Ungrammatical,TRUE
5,217,85,Sentence,Ungrammatical,TRUE
5,401,85,Sentence,Ungrammatical,TRUE
5,326,65,Sentence,Grammatical,TRUE
5,216,65,Sentence,Grammatical,TRUE
5,644,85,Sentence,Grammatical,FALSE
5,394,85,Sentence,Filler-Gram,FALSE
5,158,85,Sentence,Filler-Gram,FALSE
5,285,85,Sentence,Filler-Gram,FALSE
5,53,85,Sentence,Filler-Gram,FALSE
5,253,65,Sentence,Grammatical,TRUE
5,507,65,Sentence,Grammatical,TRUE
5,3190,65,Sentence,Grammatical,TRUE
5,2730,85,Sentence,Ungrammatical,TRUE
5,2725,65,Music,In-Key,TRUE
5,813,65,Music,In-Key,TRUE
5,693,65,Music,In-Key,TRUE
5,653,85,Music,In-Key,FALSE
5,2209,65,Music,In-Key,TRUE
5,266,85,Music,Distant-Key,TRUE
5,135,65,Music,In-Key,TRUE
5,163,65,Music,In-Key,TRUE
5,295,85,Music,Distant-Key,TRUE
5,547,85,Music,Distant-Key,TRUE
5,204,85,Music,Distant-Key,TRUE
5,210,85,Music,Distant-Key,TRUE
5,283,65,Music,In-Key,TRUE
5,326,85,Music,Distant-Key,TRUE
5,259,85,Music,Distant-Key,TRUE
5,329,65,Music,Distant-Key,FALSE
5,423,65,Music,Distant-Key,FALSE
5,640,65,Music,Distant-Key,FALSE
5,559,65,Music,Distant-Key,FALSE
5,337,85,Music,Distant-Key,TRUE
5,647,65,Music,In-Key,TRUE
5,1069,65,Music,In-Key,TRUE
5,456,65,Music,In-Key,TRUE
5,339,65,Music,Distant-Key,FALSE
5,1044,65,Music,In-Key,TRUE
5,575,65,Music,In-Key,TRUE
5,690,85,Music,Distant-Key,TRUE
5,4168,65,Music,In-Key,TRUE
5,302,85,Music,Distant-Key,TRUE
5,264,65,Music,In-Key,TRUE
5,5143,65,Music,In-Key,TRUE
5,751,65,Music,Distant-Key,FALSE
5,915,65,Music,Distant-Key,FALSE
5,957,85,Music,Distant-Key,TRUE
5,422,65,Music,In-Key,TRUE
5,582,65,Music,In-Key,TRUE
5,268,65,Sentence,Grammatical,TRUE
5,2,65,Sentence,Grammatical,TRUE
5,298,85,Sentence,Filler-Gram,FALSE
5,14,65,Sentence,Grammatical,TRUE
5,345,85,Sentence,Filler-Gram,FALSE
5,692,65,Sentence,Filler-Ungram,FALSE
5,631,65,Sentence,Grammatical,TRUE
5,443,65,Sentence,Filler-Ungram,FALSE
5,214,85,Sentence,Ungrammatical,TRUE
5,289,85,Sentence,Filler-Gram,FALSE
5,260,65,Sentence,Grammatical,TRUE
5,365,85,Sentence,Filler-Gram,FALSE
5,75,85,Sentence,Filler-Gram,FALSE
5,252,85,Sentence,Ungrammatical,TRUE
5,225,85,Sentence,Filler-Gram,FALSE
5,255,65,Sentence,Grammatical,TRUE
5,25,85,Sentence,Ungrammatical,TRUE
5,451,85,Sentence,Grammatical,FALSE
5,221,85,Sentence,Ungrammatical,TRUE
5,244,85,Sentence,Ungrammatical,TRUE
5,60,85,Sentence,Ungrammatical,TRUE
5,303,65,Sentence,Grammatical,TRUE
5,297,85,Sentence,Filler-Gram,FALSE
5,283,65,Sentence,Grammatical,TRUE
5,83,85,Sentence,Ungrammatical,TRUE
5,84,85,Sentence,Filler-Gram,FALSE
5,256,65,Sentence,Grammatical,TRUE
5,256,85,Sentence,Ungrammatical,TRUE
5,67,85,Sentence,Ungrammatical,TRUE
5,1454,85,Sentence,Ungrammatical,TRUE
5,353,65,Sentence,Grammatical,TRUE
5,250,65,Sentence,Filler-Ungram,FALSE
5,267,85,Sentence,Filler-Gram,FALSE
5,284,85,Sentence,Ungrammatical,TRUE
6,1874,65,Sentence,Ungrammatical,FALSE
6,1873,85,Sentence,Ungrammatical,TRUE
6,877,65,Sentence,Grammatical,TRUE
6,2076,65,Sentence,Grammatical,TRUE
6,930,65,Sentence,Grammatical,TRUE
6,986,65,Sentence,Filler-Ungram,FALSE
6,729,65,Sentence,Grammatical,TRUE
6,1156,65,Sentence,Filler-Ungram,FALSE
6,307,85,Sentence,Ungrammatical,TRUE
6,717,85,Sentence,Ungrammatical,TRUE
6,3061,65,Sentence,Filler-Ungram,FALSE
6,733,85,Sentence,Ungrammatical,TRUE
6,928,85,Sentence,Ungrammatical,TRUE
6,497,85,Sentence,Ungrammatical,TRUE
6,2453,65,Sentence,Filler-Ungram,FALSE
6,3044,85,Sentence,Filler-Gram,FALSE
6,2683,65,Sentence,Filler-Gram,TRUE
6,674,65,Sentence,Grammatical,TRUE
6,529,85,Sentence,Ungrammatical,TRUE
6,656,65,Sentence,Filler-Gram,TRUE
6,580,65,Sentence,Filler-Ungram,FALSE
6,681,65,Sentence,Filler-Ungram,FALSE
6,2188,85,Sentence,Filler-Gram,FALSE
6,2691,65,Sentence,Grammatical,TRUE
6,382,85,Sentence,Ungrammatical,TRUE
6,1372,65,Sentence,Grammatical,TRUE
6,1749,85,Sentence,Ungrammatical,TRUE
6,1769,65,Sentence,Grammatical,TRUE
6,2280,65,Sentence,Filler-Gram,TRUE
6,3007,85,Sentence,Grammatical,FALSE
6,1288,85,Sentence,Ungrammatical,TRUE
6,540,65,Sentence,Filler-Gram,TRUE
6,3401,65,Sentence,Filler-Gram,TRUE
6,875,85,Music,Distant-Key,TRUE
6,1415,65,Music,In-Key,TRUE
6,945,65,Music,In-Key,TRUE
6,660,85,Music,Distant-Key,TRUE
6,3281,65,Music,In-Key,TRUE
6,903,65,Music,In-Key,TRUE
6,650,85,Music,Distant-Key,TRUE
6,1748,65,Music,In-Key,TRUE
6,942,65,Music,In-Key,TRUE
6,771,85,Music,Distant-Key,TRUE
6,976,65,Music,In-Key,TRUE
6,573,65,Music,In-Key,TRUE
6,568,65,Music,In-Key,TRUE
6,1322,65,Music,In-Key,TRUE
6,800,65,Music,Distant-Key,FALSE
6,897,65,Music,In-Key,TRUE
6,1160,65,Music,In-Key,TRUE
6,1368,65,Music,In-Key,TRUE
6,822,85,Music,Distant-Key,TRUE
6,762,85,Music,Distant-Key,TRUE
6,3552,65,Music,In-Key,TRUE
6,1572,65,Music,In-Key,TRUE
6,655,85,Music,Distant-Key,TRUE
6,1731,65,Music,In-Key,TRUE
6,1095,85,Music,Distant-Key,TRUE
6,761,65,Music,In-Key,TRUE
6,646,85,Music,Distant-Key,TRUE
6,1430,65,Music,Distant-Key,FALSE
6,976,65,Music,In-Key,TRUE
6,1627,65,Music,In-Key,TRUE
6,2426,65,Music,Distant-Key,FALSE
6,605,85,Music,Distant-Key,TRUE
6,2148,65,Music,In-Key,TRUE
6,2957,65,Music,Distant-Key,FALSE
6,838,65,Music,In-Key,TRUE
6,810,85,Music,Distant-Key,TRUE
6,1011,65,Sentence,Grammatical,TRUE
6,2094,65,Sentence,Grammatical,TRUE
6,2189,85,Sentence,Ungrammatical,TRUE
6,1407,65,Sentence,Grammatical,TRUE
6,2217,65,Sentence,Filler-Ungram,FALSE
6,1494,85,Sentence,Ungrammatical,TRUE
6,2915,85,Sentence,Filler-Gram,FALSE
6,821,65,Sentence,Filler-Ungram,FALSE
